date,life form,species,# breaking leaf buds,% unfolded leaves,% full size are most leaves?,% leaves colorful (not including dried leaves retained),fallen leaves (present/absent),# flowers or buds,% open flowers,# fruits,% ripe fruits,# dropped/removed fruits,notes
4/14/2023,shrub,Sambuscus racemosa,"1,000",0.00,0.00,0.00,absent,0,0.00,0,0.00,0,
4/26/2023,shrub,Sambuscus racemosa,"1,000",0.75,0.50,0.00,absent,0,0.00,0,0.00,0,
4/29/2023,shrub,Sambuscus racemosa,"1,000",0.75,0.50,0.00,absent,"1,000",0.00,0,0.00,0,large established buds
5/10/2023,shrub,Sambuscus racemosa,"1,000",1.00,0.75,0.00,absent,"1,000",0.00,0,0.00,0,
5/20/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,"10,000",1.00,0,0.00,0,
6/12/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,"10,000",0.00,0,
6/19/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,"10,000",0.00,0,
6/27/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,"10,000",0.00,0,
7/3/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,"10,000",0.10,0,
7/10/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,"10,000",0.80,100,popping red! bird found eating fruits
7/17/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,0,1.00,"10,000",
7/25/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,0,1.00,"10,000",
7/30/2023,shrub,Sambuscus racemosa,,,,,,,,,,,no observation
8/7/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,0,1.00,"10,000",
8/16/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,0,1.00,"10,000",
8/22/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.00,absent,0,1.00,0,1.00,"10,000",
9/30/2023,shrub,Sambuscus racemosa,"10,000",1.00,1.00,0.75,absent,0,1.00,0,1.00,"10,000",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
